Total train samples: 50000
Total test samples: 10000
Batch size: 128
iteration every epoch: 390
Initial learning rate: 0.1
[2023-03-21_22:11:16] Epoch:11/200, iteration:190/390, lr: 0.1, loss: 0.7220348715782166, time: 7.112077951431274
[2023-03-21_22:11:23] Epoch:11/200, iteration:290/390, lr: 0.1, loss: 0.6430938243865967, time: 7.07279896736145
[2023-03-21_22:11:30] Epoch:11/200, iteration:390/390, lr: 0.1, loss: 0.7628876566886902, time: 6.960900545120239
[2023-03-21_22:11:37] Epoch:12/200, iteration:99/390, lr: 0.1, loss: 0.7026130557060242, time: 7.470335245132446
[2023-03-21_22:11:44] Epoch:12/200, iteration:199/390, lr: 0.1, loss: 0.542156457901001, time: 7.0922300815582275
[2023-03-21_22:11:51] Epoch:12/200, iteration:299/390, lr: 0.1, loss: 0.4895024001598358, time: 7.034094572067261
[2023-03-21_22:11:59] Epoch:13/200, iteration:8/390, lr: 0.1, loss: 0.7384137511253357, time: 7.5641114711761475
[2023-03-21_22:12:06] Epoch:13/200, iteration:108/390, lr: 0.1, loss: 0.6440496444702148, time: 6.999819040298462
[2023-03-21_22:12:13] Epoch:13/200, iteration:208/390, lr: 0.1, loss: 0.5713738799095154, time: 7.002263784408569
[2023-03-21_22:12:20] Epoch:13/200, iteration:308/390, lr: 0.1, loss: 0.630262553691864, time: 6.97574782371521
[2023-03-21_22:12:27] Epoch:14/200, iteration:17/390, lr: 0.1, loss: 0.6338315010070801, time: 7.576917886734009
[2023-03-21_22:12:34] Epoch:14/200, iteration:117/390, lr: 0.1, loss: 0.5244392156600952, time: 7.068582057952881
[2023-03-21_22:12:41] Epoch:14/200, iteration:217/390, lr: 0.1, loss: 0.8311190009117126, time: 7.007536172866821
[2023-03-21_22:12:48] Epoch:14/200, iteration:317/390, lr: 0.1, loss: 0.7030372023582458, time: 6.946158170700073
[2023-03-21_22:12:56] Epoch:15/200, iteration:26/390, lr: 0.1, loss: 0.5550687909126282, time: 7.4886815547943115
[2023-03-21_22:13:03] Epoch:15/200, iteration:126/390, lr: 0.1, loss: 0.6180075407028198, time: 7.148242235183716
[2023-03-21_22:13:10] Epoch:15/200, iteration:226/390, lr: 0.1, loss: 0.5348330736160278, time: 7.142192363739014
[2023-03-21_22:13:17] Epoch:15/200, iteration:326/390, lr: 0.1, loss: 0.46582064032554626, time: 7.125505447387695
[2023-03-21_22:13:25] Epoch:16/200, iteration:35/390, lr: 0.1, loss: 0.4758341908454895, time: 7.619990587234497
[2023-03-21_22:13:32] Epoch:16/200, iteration:135/390, lr: 0.1, loss: 0.5101582407951355, time: 6.955842733383179
[2023-03-21_22:13:39] Epoch:16/200, iteration:235/390, lr: 0.1, loss: 0.40001967549324036, time: 6.952260971069336
[2023-03-21_22:13:46] Epoch:16/200, iteration:335/390, lr: 0.1, loss: 0.5381059050559998, time: 7.00166130065918
[2023-03-21_22:13:53] Epoch:17/200, iteration:44/390, lr: 0.1, loss: 0.5862487554550171, time: 7.509356498718262
[2023-03-21_22:14:00] Epoch:17/200, iteration:144/390, lr: 0.1, loss: 0.4802721440792084, time: 7.146397352218628
[2023-03-21_22:14:07] Epoch:17/200, iteration:244/390, lr: 0.1, loss: 0.6802347898483276, time: 7.030166149139404
[2023-03-21_22:14:14] Epoch:17/200, iteration:344/390, lr: 0.1, loss: 0.505332350730896, time: 7.014967203140259
[2023-03-21_22:14:22] Epoch:18/200, iteration:53/390, lr: 0.1, loss: 0.5636133551597595, time: 7.4857728481292725
[2023-03-21_22:14:29] Epoch:18/200, iteration:153/390, lr: 0.1, loss: 0.5529869794845581, time: 6.948322772979736
[2023-03-21_22:14:36] Epoch:18/200, iteration:253/390, lr: 0.1, loss: 0.5716770887374878, time: 7.068944692611694
[2023-03-21_22:14:43] Epoch:18/200, iteration:353/390, lr: 0.1, loss: 0.6591415405273438, time: 6.910581350326538
[2023-03-21_22:14:50] Epoch:19/200, iteration:62/390, lr: 0.1, loss: 0.4806785583496094, time: 7.506565093994141
[2023-03-21_22:14:57] Epoch:19/200, iteration:162/390, lr: 0.1, loss: 0.5203012824058533, time: 6.971132755279541
[2023-03-21_22:15:04] Epoch:19/200, iteration:262/390, lr: 0.1, loss: 0.44739094376564026, time: 6.990788698196411
[2023-03-21_22:15:11] Epoch:19/200, iteration:362/390, lr: 0.1, loss: 0.3770572245121002, time: 6.909015893936157
[2023-03-21_22:15:19] Epoch:20/200, iteration:71/390, lr: 0.1, loss: 0.5593031644821167, time: 7.566155195236206
[2023-03-21_22:15:26] Epoch:20/200, iteration:171/390, lr: 0.1, loss: 0.5734016299247742, time: 6.909645318984985
[2023-03-21_22:15:33] Epoch:20/200, iteration:271/390, lr: 0.1, loss: 0.651077389717102, time: 6.97136116027832
[2023-03-21_22:15:40] Epoch:20/200, iteration:371/390, lr: 0.1, loss: 0.4582917094230652, time: 6.980069875717163
==========Test result on benign test dataset==========
[2023-03-21_22:15:43] Top-1 correct / Total: 6809/10000, Top-1 accuracy: 0.6809, Top-5 correct / Total: 9728/10000, Top-5 accuracy: 0.9728, time: 3.3372294902801514
==========Test result on poisoned test dataset==========
[2023-03-21_22:15:45] Top-1 correct / Total: 9331/10000, Top-1 accuracy: 0.9331, Top-5 correct / Total: 9943/10000, Top-5 accuracy: 0.9943, time: 5.278050184249878
[2023-03-21_22:15:51] Epoch:21/200, iteration:80/390, lr: 0.1, loss: 0.5604223608970642, time: 11.575144529342651
